symbol,name,price,volume_24h,market_cap,change_pct_24h,tradable
EGLD,MultiversX,43.87,51175174.0,1221750730.0,6.966451,True
MANA,Decentraland,0.646485,106711690.0,1207213774.0,3.829221,True
RUNE,THORChain,3.26,468225940.0,1143667345.0,8.128765,True
DYDX,dYdX,1.57,49943059.0,1135320246.0,6.028893,True
HNT,Helium,6.29,20814988.0,1116652277.0,5.36105,True
MATIC,Polygon,0.597894,9558595.0,1061315885.0,3.696618,True
RSR,Reserve Rights,0.019144,89584401.0,1049463028.0,1.572897,True
W,Wormhole,0.360407,116789342.0,1024654470.0,15.683317,True
APE,ApeCoin,1.41,101899067.0,1019034958.0,5.077505,True
AI16Z,ai16z,0.920244,236222153.0,1009349969.0,5.108183,True
MORPHO,Morpho,4.65,60783871.0,1008560483.0,1.183873,True
ZEC,Zcash,63.27,65840364.0,1004264529.0,2.012503,True
CHZ,Chiliz,0.10497,94926850.0,983129897.0,10.141958,True
EIGEN,EigenLayer,4.15,180674365.0,973291687.0,9.685974,True
AKT,Akash Network,3.8,12205744.0,937065551.0,3.777623,True
GIGA,Gigachad,0.094592,32967698.0,907632459.0,9.334662,True
COMP,Compound,101.82,69626622.0,902923263.0,1.589299,True
PENDLE,Pendle,5.23,85793370.0,860534273.0,9.783792,True
PRIME,Echelon Prime,15.18,20012504.0,829558410.0,5.905776,True
PAXG,PAX Gold,4062.52,32536286.0,822064853.0,2.051818,True
MINA,Mina,0.676582,36813455.0,819550317.0,3.019148,True
GNO,Gnosis,313.46,9632166.0,811970509.0,4.320214,True
ZK,ZKSync,0.214121,64532455.0,787036103.0,6.476099,True
SNX,Synthetix Network Token,2.29,62259410.0,776784025.0,3.750896,True
PYUSD,PayPal USD,1.45,30617284.0,745613821.0,0.568903,True
TUSD,True USD,1.45,46557109.0,717476679.0,0.598931,True
TBTC,tBTC,151757.0,22024837.0,705126703.0,1.544527,True
KAVA,Kava,0.627681,23165963.0,679581934.0,3.920076,True
MOG,Mog Coin,1.69e-06,28090288.0,660371203.0,6.232112,True
SUPER,SuperVerse,1.46,41323843.0,658622480.0,6.550891,True
1INCH,1inch,0.455953,35065366.0,637442739.0,5.213541,True
SAFE,Safe,1.17,18050161.0,631015766.0,4.021202,True
LUNA,Terra Classic,0.000113,24035477.0,622320081.0,3.26243,True
LPT,Livepeer,16.34,44984286.0,614803078.0,5.565448,True
KSM,Kusama,37.75,22072844.0,605143504.0,4.946815,True
DASH,Dash,49.15,61736405.0,596100061.0,3.036995,True
ZRO,LayerZero,5.34,66490232.0,594089865.0,4.792854,True
GRASS,Grass,2.42,30511165.0,590234643.0,-2.935813,True
ARKM,Arkham,1.67,98738336.0,588079363.0,6.624986,True
BLUR,Blur,0.268497,34051892.0,583366152.0,4.409032,True
TURBO,Turbo,0.008326,116341812.0,573149554.0,6.465383,True
MEW,Cat in a Dogs World,0.006369,26652106.0,564562374.0,1.380153,True
ASTR,Astar,0.072175,19036427.0,542266150.0,2.505678,True
ZRX,0X,0.603981,67906401.0,512343144.0,3.311814,True
ETHFI,Etherfi,2.31,89909796.0,505933597.0,3.919368,True
ATH,Aethir,0.078105,31266498.0,481286137.0,2.80153,True
BAT,Basic Attention Token,0.320952,29907932.0,480067690.0,3.488112,True
POPCAT,Popcat,0.484892,68484881.0,474951452.0,-3.712953,True
MELANIA,Melania Meme,3.06,127630542.0,458109986.0,-2.951586,True
TRAC,OriginTrail,0.909734,5918670.0,454993256.0,-4.513304,True
WOO,WOO Network,0.236512,28505361.0,440536322.0,4.330266,True
QTUM,Qtum,4.17,19704794.0,439582400.0,4.226836,True
SC,Siacoin,0.007477,39285929.0,415019557.0,0.846951,True
ETHW,EthereumPoW,3.8,10127826.0,409776082.0,3.937418,True
OSMO,Osmosis,0.57458,10879656.0,406807795.0,3.280705,True
ZETA,ZetaChain,0.641456,19178190.0,406748675.0,4.784045,True
ANKR,Ankr Network,0.040309,31669931.0,402612004.0,3.993339,True
ENJ,Enjin,0.221034,40747051.0,398127471.0,4.125031,True
MEME,Memecoin,0.010423,103006029.0,393579206.0,3.406957,True
SPELL,Spell Token,0.002458,310572873.0,383602303.0,-1.088516,True
CVX,Convex Finance,4.68,27989921.0,383317224.0,8.129623,True
ME,Magic Eden,2.93,62414667.0,381849219.0,9.587241,True
DRIFT,Drift Protocol,1.37,39293116.0,378424724.0,3.970256,True
PNUT,Peanut the Squirrel,0.3773,162185036.0,376499480.0,2.758595,True
GMT,STEPN,0.141083,114888846.0,371417025.0,4.233374,True
T,Threshold Network,0.036449,12357773.0,367185909.0,2.053205,True
CPOOL,Clearpool,0.49985,11652532.0,364903441.0,15.060385,True
SUSHI,Sushi,1.85,102777839.0,356735175.0,5.161278,True
YFI,yearn.finance,10412.25,31521088.0,350227227.0,1.441912,True
USUAL,Usual,0.614967,547683835.0,349167916.0,40.785957,True
AEVO,Aevo,0.385558,71234286.0,346784736.0,6.172904,True
FXS,Frax Share,3.81,31632258.0,333344952.0,6.613198,True
BICO,Biconomy,0.357251,35085741.0,330394954.0,5.459774,True
LCX,LCX,0.349763,2224117.0,328837680.0,2.470882,True
