datetime,adj close,close,high,low,open,volume,average,barcount,symbol,interval
1980-12-12 00:00:00+00:00,0.0988344699144363,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,469033600.0,,,AAPL,1d
1980-12-15 00:00:00+00:00,0.0936782136559486,0.1216519996523857,0.1222100034356117,0.1216519996523857,0.1222100034356117,175884800.0,,,AAPL,1d
1980-12-16 00:00:00+00:00,0.0868024304509162,0.1127230003476142,0.1132809966802597,0.1127230003476142,0.1132809966802597,105728000.0,,,AAPL,1d
1980-12-17 00:00:00+00:00,0.0889508873224258,0.1155129969120025,0.1160710006952285,0.1155129969120025,0.1155129969120025,86441600.0,,,AAPL,1d
1980-12-18 00:00:00+00:00,0.0915297716856002,0.1188620030879974,0.1194199994206428,0.1188620030879974,0.1188620030879974,73449600.0,,,AAPL,1d
1980-12-19 00:00:00+00:00,0.0971156954765319,0.1261159926652908,0.1266739964485168,0.1261159926652908,0.1261159926652908,48630400.0,,,AAPL,1d
1980-12-22 00:00:00+00:00,0.1018422842025756,0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,37363200.0,,,AAPL,1d
1980-12-23 00:00:00+00:00,0.1061399281024932,0.1378349959850311,0.1383929997682571,0.1378349959850311,0.1378349959850311,46950400.0,,,AAPL,1d
1980-12-24 00:00:00+00:00,0.1117258518934249,0.1450890004634857,0.1456470042467117,0.1450890004634857,0.1450890004634857,48003200.0,,,AAPL,1d
1980-12-26 00:00:00+00:00,0.1220391914248466,0.1584820002317428,0.1590400040149688,0.1584820002317428,0.1584820002317428,55574400.0,,,AAPL,1d
1980-12-29 00:00:00+00:00,0.1237579733133316,0.1607140004634857,0.1612720042467117,0.1607140004634857,0.1607140004634857,93161600.0,,,AAPL,1d
1980-12-30 00:00:00+00:00,0.1207501590251922,0.156808003783226,0.1573659926652908,0.156808003783226,0.1573659926652908,68880000.0,,,AAPL,1d
1980-12-31 00:00:00+00:00,0.1173126623034477,0.1523440033197403,0.1529020071029663,0.1523440033197403,0.1529020071029663,35750400.0,,,AAPL,1d
