Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,138
2017-04-19,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,463
2017-04-20,6.400000095367432,6.400000095367432,5.159999847412109,5.199999809265137,5.199999809265137,3850
2017-04-21,5.199999809265137,5.199999809265137,4.400000095367432,4.400000095367432,4.400000095367432,1625
2017-04-24,5.599999904632568,32.0,5.599999904632568,5.808000087738037,5.808000087738037,525
2017-04-25,5.599999904632568,5.599999904632568,4.400000095367432,4.400000095367432,4.400000095367432,1000
2017-04-26,5.599999904632568,5.599999904632568,4.400000095367432,4.400000095367432,4.400000095367432,525
2017-04-27,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,188
2017-04-28,4.400000095367432,5.199999809265137,4.400000095367432,4.400000095367432,4.400000095367432,850
2017-05-01,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,500
2017-05-02,3.9200000762939453,3.9200000762939453,2.0,2.0,2.0,2750
2017-05-03,2.4000000953674316,2.4000000953674316,1.8799999952316284,2.0799999237060547,2.0799999237060547,1750
2017-05-04,2.799999952316284,2.799999952316284,2.0799999237060547,2.0799999237060547,2.0799999237060547,2388
2017-05-05,2.0799999237060547,3.5999999046325684,2.0799999237060547,2.4000000953674316,2.4000000953674316,2913
2017-05-08,2.4000000953674316,2.4000000953674316,2.0399999618530273,2.0399999618530273,2.0399999618530273,4125
2017-05-09,2.4000000953674316,2.4000000953674316,2.200000047683716,2.4000000953674316,2.4000000953674316,3125
2017-05-10,2.4000000953674316,3.1600000858306885,2.4000000953674316,3.1040000915527344,3.1040000915527344,2550
2017-05-11,2.9600000381469727,2.9600000381469727,2.51200008392334,2.799999952316284,2.799999952316284,1300
2017-05-12,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,2500
2017-05-15,2.799999952316284,2.799999952316284,2.0,2.0,2.0,5900
2017-05-16,2.0,2.0399999618530273,2.0,2.0,2.0,3750
2017-05-17,2.7200000286102295,2.7200000286102295,2.7200000286102295,2.7200000286102295,2.7200000286102295,350
2017-05-18,2.7200000286102295,2.7200000286102295,2.7200000286102295,2.7200000286102295,2.7200000286102295,0
2017-05-19,2.7200000286102295,2.7200000286102295,2.7200000286102295,2.7200000286102295,2.7200000286102295,0
2017-05-22,2.7200000286102295,2.7200000286102295,2.7200000286102295,2.7200000286102295,2.7200000286102295,0
2017-05-23,2.0,2.0,2.0,2.0,2.0,313
2017-05-24,2.0799999237060547,2.0799999237060547,2.0,2.0,2.0,100
