datetime,adj close,close,high,low,open,volume,symbol,interval
1994-10-31 00:00:00+00:00,2.648531198501587,8.3125,8.3125,8.1875,8.1875,1984200.0,MCO,1d
1994-11-01 00:00:00+00:00,2.628617286682129,8.25,8.3125,8.1875,8.3125,2176400.0,MCO,1d
1994-11-02 00:00:00+00:00,2.608703851699829,8.1875,8.25,8.1875,8.25,2348200.0,MCO,1d
1994-11-03 00:00:00+00:00,2.608703851699829,8.1875,8.25,8.125,8.1875,2060800.0,MCO,1d
1994-11-04 00:00:00+00:00,2.588789463043213,8.125,8.25,8.125,8.1875,2663800.0,MCO,1d
1994-11-07 00:00:00+00:00,2.5688765048980713,8.0625,8.0625,8.0,8.0625,1049400.0,MCO,1d
1994-11-08 00:00:00+00:00,2.5091352462768555,7.875,8.0625,7.875,8.0625,5761000.0,MCO,1d
1994-11-09 00:00:00+00:00,2.548962354660034,8.0,8.0625,7.9375,7.9375,2480000.0,MCO,1d
1994-11-10 00:00:00+00:00,2.5688765048980713,8.0625,8.0625,8.0,8.0,1956000.0,MCO,1d
1994-11-11 00:00:00+00:00,2.548962354660034,8.0,8.0625,8.0,8.0625,1300200.0,MCO,1d
1994-11-14 00:00:00+00:00,2.752704620361328,7.9375,7.9375,7.875,7.9375,1419200.0,MCO,1d
1994-11-15 00:00:00+00:00,2.7310311794281006,7.875,7.9375,7.875,7.9375,3118800.0,MCO,1d
1994-11-16 00:00:00+00:00,2.7310311794281006,7.875,7.9375,7.875,7.875,813400.0,MCO,1d
1994-11-17 00:00:00+00:00,2.7093560695648193,7.8125,7.875,7.75,7.875,1477600.0,MCO,1d
1994-11-18 00:00:00+00:00,2.687680959701538,7.75,7.8125,7.6875,7.8125,2452600.0,MCO,1d
1994-11-21 00:00:00+00:00,2.6226553916931152,7.5625,7.75,7.5625,7.75,3276000.0,MCO,1d
1994-11-22 00:00:00+00:00,2.5793073177337646,7.4375,7.625,7.4375,7.5625,2725000.0,MCO,1d
1994-11-23 00:00:00+00:00,2.6009819507598877,7.5,7.5,7.3125,7.4375,2634200.0,MCO,1d
1994-11-25 00:00:00+00:00,2.6009819507598877,7.5,7.5,7.5,7.5,640800.0,MCO,1d
1994-11-28 00:00:00+00:00,2.6226553916931152,7.5625,7.5625,7.4375,7.5,1583400.0,MCO,1d
1994-11-29 00:00:00+00:00,2.6009819507598877,7.5,7.5625,7.4375,7.5625,1056400.0,MCO,1d
1994-11-30 00:00:00+00:00,2.6009819507598877,7.5,7.5,7.4375,7.5,1086800.0,MCO,1d
1994-12-01 00:00:00+00:00,2.5793073177337646,7.4375,7.5,7.4375,7.5,979000.0,MCO,1d
1994-12-02 00:00:00+00:00,2.6009819507598877,7.5,7.5,7.375,7.4375,1257200.0,MCO,1d
1994-12-05 00:00:00+00:00,2.5793073177337646,7.4375,7.5625,7.4375,7.5,1071200.0,MCO,1d
1994-12-06 00:00:00+00:00,2.5793073177337646,7.4375,7.4375,7.375,7.4375,1819200.0,MCO,1d
1994-12-07 00:00:00+00:00,2.557631254196167,7.375,7.4375,7.3125,7.4375,1223400.0,MCO,1d
1994-12-08 00:00:00+00:00,2.557631254196167,7.375,7.4375,7.375,7.375,1178400.0,MCO,1d
1994-12-09 00:00:00+00:00,2.557631254196167,7.375,7.375,7.3125,7.375,1682000.0,MCO,1d
1994-12-12 00:00:00+00:00,2.557631254196167,7.375,7.4375,7.3125,7.375,1011400.0,MCO,1d
1994-12-13 00:00:00+00:00,2.5793073177337646,7.4375,7.5,7.375,7.375,1555200.0,MCO,1d
1994-12-14 00:00:00+00:00,2.6009819507598877,7.5,7.5,7.4375,7.4375,1351600.0,MCO,1d
1994-12-15 00:00:00+00:00,2.6009819507598877,7.5,7.5625,7.375,7.5,2600400.0,MCO,1d
1994-12-16 00:00:00+00:00,2.6009819507598877,7.5,7.5625,7.4375,7.5,3428800.0,MCO,1d
1994-12-19 00:00:00+00:00,2.6226553916931152,7.5625,7.625,7.375,7.5,3590000.0,MCO,1d
1994-12-20 00:00:00+00:00,2.6443324089050293,7.625,7.625,7.5625,7.5625,1464200.0,MCO,1d
1994-12-21 00:00:00+00:00,2.6443324089050293,7.625,7.6875,7.625,7.625,3717600.0,MCO,1d
1994-12-22 00:00:00+00:00,2.687680959701538,7.75,7.75,7.625,7.625,1467200.0,MCO,1d
1994-12-23 00:00:00+00:00,2.6443324089050293,7.625,7.75,7.625,7.75,1012000.0,MCO,1d
1994-12-27 00:00:00+00:00,2.687680959701538,7.75,7.75,7.625,7.625,3242800.0,MCO,1d
1994-12-28 00:00:00+00:00,2.687680959701538,7.75,7.75,7.625,7.75,1814400.0,MCO,1d
1994-12-29 00:00:00+00:00,2.7093560695648193,7.8125,7.8125,7.75,7.75,1436200.0,MCO,1d
1994-12-30 00:00:00+00:00,2.7093560695648193,7.8125,7.8125,7.6875,7.8125,1365600.0,MCO,1d
1995-01-03 00:00:00+00:00,2.687680959701538,7.75,7.8125,7.6875,7.8125,1064200.0,MCO,1d
1995-01-04 00:00:00+00:00,2.6660075187683105,7.6875,7.8125,7.625,7.75,1751600.0,MCO,1d
1995-01-05 00:00:00+00:00,2.687680959701538,7.75,7.75,7.625,7.6875,1600200.0,MCO,1d
1995-01-06 00:00:00+00:00,2.6660075187683105,7.6875,7.8125,7.6875,7.75,2230600.0,MCO,1d
1995-01-09 00:00:00+00:00,2.6660075187683105,7.6875,7.75,7.625,7.6875,2108800.0,MCO,1d
1995-01-10 00:00:00+00:00,2.6660075187683105,7.6875,7.75,7.6875,7.6875,1580600.0,MCO,1d
1995-01-11 00:00:00+00:00,2.6443324089050293,7.625,7.6875,7.5625,7.6875,3488600.0,MCO,1d
