datetime,open,high,low,close,volume,average,barCount,symbol,interval
2024-09-09 13:30:00+00:00,152.5,152.8,152.05,152.5,494787.0,152.407,854,GOOGL,1m
2024-09-09 13:31:00+00:00,152.53,152.83,152.48,152.69,132838.0,152.691,711,GOOGL,1m
2024-09-09 13:32:00+00:00,152.7,153.12,152.68,153.03,124173.0,152.973,588,GOOGL,1m
2024-09-09 13:33:00+00:00,153.03,153.15,152.98,153.07,89437.0,153.059,605,GOOGL,1m
2024-09-09 13:34:00+00:00,153.09,153.33,152.99,153.22,87212.0,153.14,476,GOOGL,1m
2024-09-09 13:35:00+00:00,153.23,153.4,153.19,153.35,62673.0,153.286,441,GOOGL,1m
2024-09-09 13:36:00+00:00,153.34,153.35,153.08,153.09,94489.0,153.173,470,GOOGL,1m
2024-09-09 13:37:00+00:00,153.09,153.25,153.02,153.04,47826.0,153.124,304,GOOGL,1m
2024-09-09 13:38:00+00:00,153.05,153.14,152.98,153.04,56737.0,153.03,338,GOOGL,1m
2024-09-09 13:39:00+00:00,153.04,153.14,152.99,153.02,52327.0,153.054,338,GOOGL,1m
2024-09-09 13:40:00+00:00,153.02,153.03,152.78,152.9,64796.0,152.928,375,GOOGL,1m
2024-09-09 13:41:00+00:00,152.9,153.01,152.85,152.93,68344.0,152.94,433,GOOGL,1m
2024-09-09 13:42:00+00:00,152.93,153.09,152.89,152.89,68539.0,152.985,460,GOOGL,1m
2024-09-09 13:43:00+00:00,152.91,153.09,152.88,152.97,57944.0,152.981,268,GOOGL,1m
2024-09-09 13:44:00+00:00,152.98,153.03,152.86,152.86,29834.0,152.971,195,GOOGL,1m
2024-09-09 13:45:00+00:00,152.86,152.88,152.69,152.69,44497.0,152.79,268,GOOGL,1m
2024-09-09 13:46:00+00:00,152.68,152.78,152.66,152.71,34191.0,152.707,218,GOOGL,1m
2024-09-09 13:47:00+00:00,152.73,152.96,152.72,152.96,57584.0,152.832,398,GOOGL,1m
2024-09-09 13:48:00+00:00,152.94,153.11,152.9,152.96,61416.0,153.006,359,GOOGL,1m
2024-09-09 13:49:00+00:00,152.95,152.98,152.84,152.87,57126.0,152.901,304,GOOGL,1m
2024-09-09 13:50:00+00:00,152.88,153.08,152.88,153.05,45920.0,153.01,293,GOOGL,1m
2024-09-09 13:51:00+00:00,153.04,153.18,152.99,153.18,59424.0,153.058,362,GOOGL,1m
2024-09-09 13:52:00+00:00,153.18,153.38,153.17,153.32,60364.0,153.293,354,GOOGL,1m
2024-09-09 13:53:00+00:00,153.33,153.34,153.23,153.25,50500.0,153.287,306,GOOGL,1m
2024-09-09 13:54:00+00:00,153.25,153.28,152.95,153.02,27945.0,153.1,179,GOOGL,1m
2024-09-09 13:55:00+00:00,153.02,153.03,152.85,152.88,41563.0,152.948,220,GOOGL,1m
2024-09-09 13:56:00+00:00,152.86,152.87,152.71,152.71,35181.0,152.785,203,GOOGL,1m
2024-09-09 13:57:00+00:00,152.71,152.73,152.53,152.55,46402.0,152.625,316,GOOGL,1m
2024-09-09 13:58:00+00:00,152.56,152.85,152.56,152.83,43112.0,152.714,282,GOOGL,1m
2024-09-09 13:59:00+00:00,152.83,152.88,152.59,152.59,38431.0,152.746,202,GOOGL,1m
2024-09-09 14:00:00+00:00,152.6,152.62,152.13,152.16,61503.0,152.249,409,GOOGL,1m
2024-09-09 14:01:00+00:00,152.15,152.36,152.12,152.27,74170.0,152.278,474,GOOGL,1m
