Date,Open,High,Low,Close,Adj Close,Volume
2021-02-11,14.0,23.791000366210938,14.0,22.0,20.21930694580078,7896500
2021-02-12,24.75,39.849998474121094,23.110000610351562,31.479999542236328,28.931991577148438,9535200
2021-02-16,31.100000381469727,35.0,26.0,26.450000762939453,24.309120178222656,2413700
2021-02-17,26.6200008392334,27.0,23.5,24.790000915527344,22.783483505249023,1331800
2021-02-18,27.8700008392334,28.440000534057617,24.78700065612793,25.770000457763672,23.684160232543945,1189100
2021-02-19,26.3700008392334,26.3700008392334,23.030000686645508,23.18000030517578,21.303796768188477,1193800
2021-02-22,22.940000534057617,23.299999237060547,20.700000762939453,21.1200008392334,19.41053581237793,722200
2021-02-23,20.18000030517578,20.420000076293945,17.172000885009766,19.040000915527344,17.498889923095703,774400
2021-02-24,19.010000228881836,20.75,18.899999618530273,20.399999618530273,18.748811721801758,389800
2021-02-25,20.479999542236328,20.969999313354492,18.610000610351562,19.389999389648438,17.820558547973633,334500
2021-02-26,20.31999969482422,20.579999923706055,18.719999313354492,19.40999984741211,17.838943481445312,348500
2021-03-01,20.170000076293945,21.5,19.511999130249023,20.770000457763672,19.088865280151367,501900
2021-03-02,21.010000228881836,26.110000610351562,20.780000686645508,23.510000228881836,21.607086181640625,2064000
2021-03-03,23.8799991607666,23.959999084472656,19.81999969482422,20.190000534057617,18.555810928344727,632900
2021-03-04,20.040000915527344,20.149999618530273,18.0,18.31999969482422,16.837167739868164,449800
2021-03-05,18.809999465942383,18.850000381469727,16.030000686645508,18.510000228881836,17.011789321899414,446900
2021-03-08,18.0,19.3799991607666,17.6200008392334,19.219999313354492,17.664321899414062,454500
2021-03-09,19.469999313354492,20.90999984741211,18.459999084472656,20.5,18.84071922302246,449300
2021-03-10,20.5,21.219999313354492,19.3799991607666,20.260000228881836,18.62014389038086,550800
2021-03-11,20.399999618530273,20.90999984741211,19.329999923706055,19.950000762939453,18.335235595703125,441400
2021-03-12,19.799999237060547,20.889999389648438,19.53499984741211,20.59000015258789,18.92343521118164,565000
2021-03-15,20.989999771118164,23.209999084472656,20.84000015258789,22.3799991607666,20.56854820251465,1288500
2021-03-16,21.809999465942383,23.260000228881836,21.399999618530273,22.25,20.449071884155273,367600
2021-03-17,22.200000762939453,22.489999771118164,21.579999923706055,22.0,20.21930694580078,291700
2021-03-18,21.549999237060547,23.200000762939453,19.709999084472656,20.3700008392334,18.721240997314453,949100
2021-03-19,20.3700008392334,22.299999237060547,20.315000534057617,21.649999618530273,19.89763641357422,419500
2021-03-22,21.549999237060547,22.40999984741211,20.200000762939453,20.739999771118164,19.06129264831543,425500
2021-03-23,20.700000762939453,21.5,20.56999969482422,20.989999771118164,19.291059494018555,214100
2021-03-24,20.899999618530273,21.399999618530273,19.809999465942383,19.809999465942383,18.206565856933594,265000
2021-03-25,19.799999237060547,20.799999237060547,19.700000762939453,20.149999618530273,18.519046783447266,627800
2021-03-26,20.299999237060547,20.59000015258789,19.100000381469727,19.799999237060547,18.19737434387207,124200
2021-03-29,19.579999923706055,19.770000457763672,19.12299919128418,19.510000228881836,17.930849075317383,164400
2021-03-30,19.559999465942383,19.86400032043457,19.100000381469727,19.540000915527344,17.958419799804688,158600
2021-03-31,19.399999618530273,20.190000534057617,19.399999618530273,19.940000534057617,18.3260440826416,258400
2021-04-01,20.0,20.829999923706055,19.979999542236328,20.059999465942383,18.43633270263672,295000
2021-04-05,20.440000534057617,21.34000015258789,20.270000457763672,20.829999923706055,19.144004821777344,190000
2021-04-06,20.93000030517578,21.239999771118164,20.204999923706055,20.760000228881836,19.079673767089844,464300
2021-04-07,20.739999771118164,21.260000228881836,20.030000686645508,20.760000228881836,19.079673767089844,565500
2021-04-08,20.760000228881836,21.489999771118164,20.280000686645508,21.100000381469727,19.392154693603516,317100
2021-04-09,21.079999923706055,22.899999618530273,21.079999923706055,22.190000534057617,20.39392852783203,528300
2021-04-12,22.149999618530273,22.319000244140625,20.639999389648438,20.920000076293945,19.22672462463379,445300
2021-04-13,21.06999969482422,21.940000534057617,20.860000610351562,21.209999084472656,19.493247985839844,444400
2021-04-14,20.920000076293945,21.283000946044922,19.531999588012695,19.979999542236328,18.36280632019043,364500
2021-04-15,20.040000915527344,20.229999542236328,19.270000457763672,19.889999389648438,18.28009033203125,172100
2021-04-16,19.530000686645508,19.860000610351562,19.399999618530273,19.75,18.151424407958984,338300
